thread_id,sent_from,date_sent,is_followup,time_since_last_msg_mins
thr_hom_533661_ab10_17,claims@bridgegatebrokers.co.uk,2026-02-02T12:03:00Z,True,75.0
thr_hom_483912_m20_06,c.ashford@hotmail.co.uk,2026-02-05T13:44:00Z,True,202.0
thr_hom_483912_m20_06,scheduling@borderlossadjusters.co.uk,2026-02-06T09:18:00Z,True,1174.0
thr_hom_483912_m20_06,c.ashford@hotmail.co.uk,2026-02-06T12:05:00Z,True,167.0
thr_mtr_552301_sheffield_08,motor.claims@pinnacle-insurance.co.uk,2026-02-11T09:18:00Z,True,13.0
thr_mtr_552301_sheffield_08,motor.engineering@pinnacle-insurance.co.uk,2026-02-11T10:02:00Z,True,44.0
thr_mtr_552301_sheffield_08,motor.claims@pinnacle-insurance.co.uk,2026-02-11T10:24:00Z,True,22.0
thr_mtr_552301_sheffield_08,service@steelcity-bodyshop.co.uk,2026-02-11T10:41:00Z,True,17.0
thr_hom_508377_le2_13,home.claims@pinnacle-insurance.co.uk,2026-02-08T11:05:00Z,True,21.0
thr_hom_508377_le2_13,adjusting@borderlossadjusters.co.uk,2026-02-09T15:12:00Z,True,1687.0
thr_mtr_552301_invoice_24,motor.claims@pinnacle-insurance.co.uk,2026-02-18T09:28:00Z,True,17.0
thr_mtr_552301_invoice_24,accounts@quickfixgarage.com,2026-02-18T15:46:00Z,True,378.0
thr_lia_744552_g12_12,admin@glasgow-physio.co.uk,2026-02-16T09:22:00Z,True,14.0
thr_lia_fnol_cf10_03,r.williams@morganrowesolicitors.co.uk,2026-02-12T11:32:00Z,True,141.0
thr_lia_771045_eh6_07,liability.handlers@pinnacle-insurance.co.uk,2026-02-18T14:15:00Z,True,253.0
thr_lia_771045_eh6_07,k.macleod@caledonialaw.co.uk,2026-02-19T10:24:00Z,True,1209.0
thr_hom_520119_g3_14,l.mitchell21@gmail.com,2026-02-05T08:12:00Z,True,756.0
thr_lia_744552_invoice_26,accounts@physiocarescotland.co.uk,2026-02-18T09:06:00Z,True,2718.0
thr_hom_547299_invoice_27,accounts@baybuildresponse.co.uk,2026-02-06T10:22:00Z,True,1478.0
thr_mtr_560442_l13_20,motor.handlers@pinnacle-insurance.co.uk,2026-02-09T09:04:00Z,True,46.0
thr_mtr_560442_l13_20,c.rafferty@outlook.com,2026-02-09T15:51:00Z,True,407.0
thr_lia_752388_databreach_23,d.jameson@taylorandsonssolicitors.co.uk,2026-02-19T12:03:00Z,True,82.0
thr_hom_419876_ng2_09,home.claims@pinnacle-insurance.co.uk,2026-02-09T11:22:00Z,True,16.0
thr_hom_419876_ng2_09,projects@northshore-engineering.co.uk,2026-02-10T15:34:00Z,True,1692.0
thr_hom_419876_ng2_09,home.claims@pinnacle-insurance.co.uk,2026-02-10T16:12:00Z,True,38.0
thr_hom_419876_ng2_09,s.ramsey@harperbroking.co.uk,2026-02-10T18:04:00Z,True,112.0
thr_hom_419876_ng2_09,s.ramsey@harperbroking.co.uk,2026-02-11T09:02:00Z,True,898.0
thr_hom_544210_cf10_21,home.claims@pinnacle-insurance.co.uk,2026-02-12T10:04:00Z,True,25.0
thr_hom_544210_cf10_21,technical@pinnacle-insurance.co.uk,2026-02-13T11:16:00Z,True,1512.0
thr_hom_544210_cf10_21,sarah.thomas@welshcoverbrokers.co.uk,2026-02-13T12:02:00Z,True,46.0
thr_lia_663210_ll11_10,liability.handlers@pinnacle-insurance.co.uk,2026-02-17T11:02:00Z,True,37.0
thr_lia_663210_ll11_10,liability.handlers@pinnacle-insurance.co.uk,2026-02-17T11:10:00Z,True,8.0
thr_lia_663210_ll11_10,megan.evans@outlook.com,2026-02-17T16:18:00Z,True,308.0
thr_hom_489020_s7_16,home.claims@pinnacle-insurance.co.uk,2026-02-14T10:01:00Z,True,29.0
thr_hom_489020_s7_16,estimating@whitakerrestoration.co.uk,2026-02-17T08:44:00Z,True,4243.0
thr_hom_547299_yo24_18,reports@caledoniantreeservices.co.uk,2026-02-05T11:22:00Z,True,1526.0
thr_hom_501772_dh1_19,complaints@pinnacle-insurance.co.uk,2026-02-02T09:12:00Z,True,890.0
thr_info_site_ca12_37,updates@borderlossadjusters.co.uk,2026-02-17T17:42:00Z,True,142.0
thr_mtr_590234_gateshead_11,motor.theft@pinnacle-insurance.co.uk,2026-02-13T12:05:00Z,True,19.0
thr_mtr_590234_gateshead_11,fraud.team@pinnacle-insurance.co.uk,2026-02-13T15:39:00Z,True,214.0
thr_mtr_575842_a184_15,motor.handlers@pinnacle-insurance.co.uk,2026-02-06T14:22:00Z,True,16.0
thr_mtr_575842_a184_15,motor.engineering@pinnacle-insurance.co.uk,2026-02-06T15:01:00Z,True,39.0
thr_mtr_575842_a184_15,motorclaims@northernmutual.co.uk,2026-02-06T16:02:00Z,True,61.0
thr_hom_536909_b29_22,complaints@pinnacle-insurance.co.uk,2026-02-05T09:06:00Z,True,772.0
thr_hom_419876_invoice_25,billing@northshore-engineering.co.uk,2026-02-11T10:01:00Z,True,1489.0
